SNIN_REFERENCE,CONSTRUCTION_SITE_ID,NO_OF_PLOTS_PLANNED,SITE_STATUS,SITE_STATUS_DATE,WKT
05000001,900001,44,ACTIVE,2021-05-28,"POLYGON ((407052.9 428959.6, 407184.3 428959.6, 407184.3 429091, 407052.9 429091, 407052.9 428959.6))"
05000002,900002,111,COMPLETED,2021-04-30,"POLYGON ((391603.5 425698.2, 391799.1 425698.2, 391799.1 425893.9, 391603.5 425893.9, 391603.5 425698.2))"
05000003,900003,52,ENQUIRY,2021-05-07,"POLYGON ((405941 428404.7, 406064.8 428404.7, 406064.8 428528.6, 405941 428528.6, 405941 428404.7))"
05000004,900004,98,COMPLETED,2021-04-02,"POLYGON ((393685.1 423061.1, 393908.2 423061.1, 393908.2 423284.1, 393685.1 423284.1, 393685.1 423061.1))"
05000005,900005,90,ACTIVE,2021-02-19,"POLYGON ((406769.1 428965.3, 406955.8 428965.3, 406955.8 429151.9, 406769.1 429151.9, 406769.1 428965.3))"
05000006,900006,32,COMPLETED,2021-10-08,"POLYGON ((407135.5 428783.6, 407261.7 428783.6, 407261.7 428909.9, 407135.5 428909.9, 407135.5 428783.6))"
05000007,900007,70,ACTIVE,2021-07-16,"POLYGON ((406583.3 428653.2, 406753 428653.2, 406753 428822.8, 406583.3 428822.8, 406583.3 428653.2))"
05000008,900008,58,COMPLETED,2021-05-28,"POLYGON ((406392.2 430126.4, 406553.6 430126.4, 406553.6 430287.7, 406392.2 430287.7, 406392.2 430126.4))"
05000009,900009,127,ACTIVE,2021-08-27,"POLYGON ((393530.9 424593.9, 393787.7 424593.9, 393787.7 424850.6, 393530.9 424850.6, 393530.9 424593.9))"
05000010,900010,33,COMPLETED,2022-01-28,"POLYGON ((394119.3 424815.8, 394250.2 424815.8, 394250.2 424946.7, 394119.3 424946.7, 394119.3 424815.8))"
05000011,900011,58,ACTIVE,2021-11-26,"POLYGON ((408229.4 427577.9, 408372.8 427577.9, 408372.8 427721.3, 408229.4 427721.3, 408229.4 427577.9))"
05000012,900012,44,COMPLETED,2022-02-11,"POLYGON ((408326.7 426264, 408441.5 426264, 408441.5 426378.7, 408326.7 426378.7, 408326.7 426264))"
05000013,900013,85,ACTIVE,2022-05-13,"POLYGON ((408029.5 427143.7, 408150.4 427143.7, 408150.4 427264.5, 408029.5 427264.5, 408029.5 427143.7))"
05000014,900013,0,ACTIVE,2022-05-13,"POLYGON ((408195.5 427047.9, 408316.3 427047.9, 408316.3 427168.8, 408195.5 427168.8, 408195.5 427047.9))"
05000015,900014,8,COMPLETED,2022-01-28,"POLYGON ((408137.3 426727.5, 408199.4 426727.5, 408199.4 426789.6, 408137.3 426789.6, 408137.3 426727.5))"
05000016,900015,100,COMPLETED,2020-07-03,"POLYGON ((391265.9 425141.4, 391492.9 425141.4, 391492.9 425368.3, 391265.9 425368.3, 391265.9 425141.4))"
