SNIN_REFERENCE,PLOT_NO,INSPECTION_DATE,INSP_GROUP
05000001,1,2020-11-11,Handover
05000001,2,2020-12-30,Handover
05000001,3,2020-11-11,Handover
05000001,4,2020-11-25,Handover
05000001,5,2020-11-18,Handover
05000001,6,2021-03-10,Handover
05000001,7,2021-01-20,Handover
05000001,8,2020-11-11,Handover
05000001,9,2020-11-11,Handover
05000001,10,2020-11-11,Handover
05000001,11,2020-11-11,Handover
05000001,12,2020-11-11,Handover
05000001,13,2020-11-11,Handover
05000001,14,2020-11-11,Handover
05000001,15,2021-01-20,Handover
05000001,16,2020-11-11,Handover
05000001,17,2020-12-30,Handover
05000001,18,2020-11-18,Handover
05000001,19,2021-03-24,Handover
05000001,20,2020-11-11,Handover
05000001,21,2020-11-11,Handover
05000001,22,2020-11-11,Handover
05000001,23,2020-11-11,Handover
05000001,24,2020-11-11,Handover
05000001,25,2020-12-02,Handover
05000001,26,2020-11-11,Handover
05000001,27,2020-11-11,Handover
05000001,28,2020-11-11,Handover
05000001,29,2020-11-11,Handover
05000001,30,2020-11-11,Handover
05000001,31,2020-11-11,Handover
05000001,32,2021-01-20,Handover
05000001,33,2020-11-11,Handover
05000001,34,2020-11-25,Handover
05000001,35,2020-11-11,Handover
05000001,36,2020-11-11,Handover
05000001,37,2021-01-27,Handover
05000001,38,2020-11-11,Handover
05000001,39,2020-11-11,Handover
05000001,40,2020-12-30,Handover
05000001,41,2021-04-14,Handover
05000001,42,2020-11-11,Handover
05000001,43,2020-11-11,Handover
05000001,44,2020-11-25,Handover
05000002,1,2020-10-14,Handover
05000002,2,2020-10-14,Handover
05000002,3,2020-10-14,Handover
05000002,4,2021-01-27,Handover
05000002,5,2021-04-07,Handover
05000002,6,2021-01-27,Handover
05000002,7,2020-10-14,Handover
05000002,8,2020-10-14,Handover
05000002,9,2021-02-17,Handover
05000002,10,2021-01-06,Handover
05000002,11,2020-10-14,Handover
05000002,12,2020-10-14,Handover
05000002,13,2020-10-14,Handover
05000002,14,2021-02-24,Handover
05000002,15,2020-10-14,Handover
05000002,16,2020-11-04,Handover
05000002,17,2021-02-24,Handover
05000002,18,2020-10-14,Handover
05000002,19,2020-10-14,Handover
05000002,20,2020-10-14,Handover
