PLOT_ID,SNIN_REFERENCE,PLOT_NO,START_DATE,REGISTERED_DATE,WARRANTY_FINAL_DATE,BC_FINAL_DATE,LEGAL_COMPLETION_DATE,NUMBER_OF_STOREYS,FIRST_PHO_DATE,FAILED_FIRST_PHO
2000000001,05000001,1,2019-08-05,2019-07-06,,2020-11-09,,2,2020-11-12,N
2000000002,05000001,2,2020-04-27,2020-03-28,,,2020-12-28,2,2020-12-31,Y
2000000003,05000001,3,2019-11-18,2019-10-19,,2020-11-09,,2,2020-11-12,N
2000000004,05000001,4,2020-03-30,2020-02-29,,2020-11-23,,2,2020-11-26,N
2000000005,05000001,5,2020-01-27,2019-12-28,,,2020-11-16,2,2020-11-19,N
2000000006,05000001,6,2020-03-30,2020-02-29,,2021-03-08,,2,2021-03-11,N
2000000007,05000001,7,2020-02-10,2020-01-11,,,2021-01-18,2,2021-01-21,N
2000000008,05000001,8,2019-11-11,2019-10-12,,2020-11-09,,2,2020-11-12,N
2000000009,05000001,9,2019-09-02,2019-08-03,,2020-11-09,,2,2020-11-12,N
2000000010,05000001,10,2020-01-13,2019-12-14,,2020-11-09,,2,2020-11-12,N
2000000011,05000001,11,2020-01-13,2019-12-14,,2020-11-09,,2,2020-11-12,N
2000000012,05000001,12,2020-03-16,2020-02-15,,2020-11-09,,2,2020-11-12,N
2000000013,05000001,13,2019-11-04,2019-10-05,2020-11-09,,,2,2020-11-12,N
2000000014,05000001,14,2019-09-23,2019-08-24,2020-11-09,,,2,2020-11-12,N
2000000015,05000001,15,2020-02-17,2020-01-18,,2021-01-18,,2,2021-01-21,N
2000000016,05000001,16,2019-08-12,2019-07-13,,2020-11-09,,2,2020-11-12,N
2000000017,05000001,17,2020-02-10,2020-01-11,,2020-12-28,,2,2020-12-31,N
2000000018,05000001,18,2020-03-09,2020-02-08,,2020-11-16,,2,2020-11-19,N
2000000019,05000001,19,2020-04-20,2020-03-21,2021-03-22,,,2,2021-03-25,N
2000000020,05000001,20,2020-01-06,2019-12-07,,2020-11-09,,2,2020-11-12,N
2000000021,05000001,21,2019-09-23,2019-08-24,,2020-11-09,,2,2020-11-12,N
2000000022,05000001,22,2019-12-16,2019-11-16,,2020-11-09,,2,2020-11-12,N
2000000023,05000001,23,2019-08-19,2019-07-20,2020-11-09,,,2,2020-11-12,N
2000000024,05000001,24,2020-02-17,2020-01-18,,2020-11-09,,2,2020-11-12,N
2000000025,05000001,25,2020-01-27,2019-12-28,,2020-11-30,,2,2020-12-03,N
2000000026,05000001,26,2019-10-28,2019-09-28,,2020-11-09,,2,2020-11-12,N
2000000027,05000001,27,2020-03-16,2020-02-15,,,2020-11-09,2,2020-11-12,N
2000000028,05000001,28,2019-08-26,2019-07-27,,2020-11-09,,2,2020-11-12,Y
2000000029,05000001,29,2019-08-26,2019-07-27,,2020-11-09,,2,2020-11-12,N
2000000030,05000001,30,2019-11-25,2019-10-26,,2020-11-09,,2,2020-11-12,N
2000000031,05000001,31,2019-12-16,2019-11-16,,,2020-11-09,2,2020-11-12,Y
2000000032,05000001,32,2020-04-06,2020-03-07,,2021-01-18,,2,2021-01-21,N
2000000033,05000001,33,2019-08-12,2019-07-13,,2020-11-09,,2,2020-11-12,N
2000000034,05000001,34,2020-04-27,2020-03-28,,2020-11-23,,2,2020-11-26,N
2000000035,05000001,35,2019-12-23,2019-11-23,,,2020-11-09,2,2020-11-12,N
2000000036,05000001,36,2019-11-04,2019-10-05,,2020-11-09,,2,2020-11-12,N
2000000037,05000001,37,2020-05-04,2020-04-04,,2021-01-25,,2,2021-01-28,N
2000000038,05000001,38,2019-11-04,2019-10-05,,,2020-11-09,2,2020-11-12,N
2000000039,05000001,39,2020-02-03,2020-01-04,,,2020-11-09,2,2020-11-12,N
2000000040,05000001,40,2020-02-10,2020-01-11,2020-12-28,,,2,2020-12-31,N
2000000041,05000001,41,2020-05-11,2020-04-11,2021-04-12,,,2,2021-04-15,N
2000000042,05000001,42,2019-12-23,2019-11-23,,2020-11-09,,2,2020-11-12,N
2000000043,05000001,43,2019-08-19,2019-07-20,,2020-11-09,,2,2020-11-12,N
2000000044,05000001,44,2019-12-16,2019-11-16,,2020-11-23,,2,2020-11-26,N
2000000045,05000002,1,2019-08-19,2019-07-20,,2020-10-12,,2,2020-10-15,N
2000000046,05000002,2,2019-10-07,2019-09-07,2020-10-12,,,2,2020-10-15,Y
2000000047,05000002,3,2019-10-21,2019-09-21,,2020-10-12,,2,2020-10-15,Y
2000000048,05000002,4,2020-05-25,2020-04-25,,2021-01-25,,2,2021-01-28,N
2000000049,05000002,5,2020-05-04,2020-04-04,2021-04-05,,,2,2021-04-08,N
2000000050,05000002,6,2020-03-30,2020-02-29,,2021-01-25,,2,2021-01-28,N
2000000051,05000002,7,2019-10-07,2019-09-07,,2020-10-12,,2,2020-10-15,N
2000000052,05000002,8,2019-09-16,2019-08-17,,2020-10-12,,2,2020-10-15,N
2000000053,05000002,9,2020-05-11,2020-04-11,,2021-02-15,,2,2021-02-18,Y
2000000054,05000002,10,2020-05-04,2020-04-04,,,2021-01-04,2,2021-01-07,N
2000000055,05000002,11,2019-09-23,2019-08-24,,2020-10-12,,2,2020-10-15,N
2000000056,05000002,12,2019-11-25,2019-10-26,,2020-10-12,,2,2020-10-15,N
2000000057,05000002,13,2019-12-02,2019-11-02,,,,2,2020-10-15,N
2000000058,05000002,14,2020-03-16,2020-02-15,,,,2,2021-02-25,N
2000000059,05000002,15,2019-08-26,2019-07-27,,2020-10-12,,2,2020-10-15,N
2000000060,05000002,16,2020-03-30,2020-02-29,,2020-11-02,,2,2020-11-05,N
2000000061,05000002,17,2020-05-04,2020-04-04,,2021-02-22,,2,2021-02-25,N
2000000062,05000002,18,2020-02-24,2020-01-25,,2020-10-12,,2,2020-10-15,N
2000000063,05000002,19,2019-10-21,2019-09-21,,2020-10-12,,2,2020-10-15,N
2000000064,05000002,20,2019-11-25,2019-10-26,,,2020-10-12,2,2020-10-15,N
2000000065,05000002,21,2019-09-09,2019-08-10,2020-10-12,,,2,2020-10-15,N
2000000066,05000002,22,2020-05-11,2020-04-11,,2021-02-15,,2,2021-02-18,N
2000000067,05000002,23,2019-12-16,2019-11-16,,2020-10-12,,2,2020-10-15,Y
2000000068,05000002,24,2019-10-28,2019-09-28,,2020-10-12,,2,2020-10-15,N
2000000069,05000002,25,2020-05-04,2020-04-04,,,2021-01-18,2,2021-01-21,N
2000000070,05000002,26,2019-11-11,2019-10-12,,2020-10-12,,2,2020-10-15,N
2000000071,05000002,27,2020-04-06,2020-03-07,,2021-02-01,,2,2021-02-04,N
2000000072,05000002,28,2020-01-06,2019-12-07,,2020-11-30,,2,2020-12-03,N
2000000073,05000002,29,2020-02-24,2020-01-25,,2020-10-12,,2,2020-10-15,N
2000000074,05000002,30,2019-12-02,2019-11-02,,2020-10-12,,2,2020-10-15,N
2000000075,05000002,31,2019-11-25,2019-10-26,,,2020-10-12,2,2020-10-15,N
2000000076,05000002,32,2020-01-20,2019-12-21,,2020-10-12,,2,2020-10-15,N
2000000077,05000002,33,2019-11-11,2019-10-12,,2020-10-12,,2,2020-10-15,N
2000000078,05000002,34,2019-12-09,2019-11-09,,2020-10-12,,2,2020-10-15,N
2000000079,05000002,35,2019-11-11,2019-10-12,2020-10-19,,,2,2020-10-22,Y
2000000080,05000002,36,2020-04-06,2020-03-07,,2021-01-04,,2,2021-01-07,Y
2000000081,05000002,37,2019-10-28,2019-09-28,,2020-10-12,,2,2020-10-15,N
2000000082,05000002,38,2019-09-02,2019-08-03,,2020-10-12,,2,2020-10-15,N
2000000083,05000002,39,2020-05-11,2020-04-11,,2020-12-07,,2,2020-12-10,N
2000000084,05000002,40,2019-12-16,2019-11-16,,2020-10-12,,2,2020-10-15,N
2000000085,05000002,41,2020-04-20,2020-03-21,,2020-12-28,,2,2020-12-31,Y
2000000086,05000002,42,2019-11-18,2019-10-19,,2020-10-12,,2,2020-10-15,N
2000000087,05000002,43,2019-12-02,2019-11-02,,2020-10-19,,2,2020-10-22,N
2000000088,05000002,44,2020-05-11,2020-04-11,,2021-03-01,,2,2021-03-04,N
2000000089,05000002,45,2019-11-11,2019-10-12,,2020-10-12,,2,2020-10-15,N
2000000090,05000002,46,2020-04-20,2020-03-21,,2020-12-28,,2,2020-12-31,N
2000000091,05000002,47,2019-12-02,2019-11-02,,2020-10-12,,2,2020-10-15,Y
2000000092,05000002,48,2019-11-18,2019-10-19,,2020-10-12,,2,2020-10-15,N
2000000093,05000002,49,2020-05-25,2020-04-25,2021-01-04,,,2,2021-01-07,Y
2000000094,05000002,50,2019-10-28,2019-09-28,,,,2,2020-10-15,N
2000000095,05000002,51,2019-11-25,2019-10-26,,2020-10-12,,2,2020-10-15,N
2000000096,05000002,52,2019-11-18,2019-10-19,,,2020-10-19,2,2020-10-22,N
2000000097,05000002,53,2020-03-09,2020-02-08,,2020-10-19,,2,2020-10-22,N
2000000098,05000002,54,2019-09-02,2019-08-03,,2020-10-12,,2,2020-10-15,Y
2000000099,05000002,55,2020-04-13,2020-03-14,,2021-03-08,,2,2021-03-11,N
2000000100,05000002,56,2020-05-04,2020-04-04,2020-12-14,,,2,2020-12-17,N
2000000101,05000002,57,2019-12-30,2019-11-30,,,2020-11-16,2,2020-11-19,N
2000000102,05000002,58,2020-04-27,2020-03-28,2021-02-08,,,2,2021-02-11,N
2000000103,05000002,59,2020-02-10,2020-01-11,2021-01-11,,,2,2021-01-14,N
2000000104,05000002,60,2020-01-27,2019-12-28,2020-10-19,,,2,2020-10-22,N
2000000105,05000002,61,2019-09-16,2019-08-17,,2020-10-12,,2,2020-10-15,Y
2000000106,05000002,62,2020-01-20,2019-12-21,,2020-10-26,,2,2020-10-29,N
2000000107,05000002,63,2020-04-27,2020-03-28,,,2021-02-01,2,2021-02-04,N
2000000108,05000002,64,2019-11-11,2019-10-12,,2020-10-12,,2,2020-10-15,N
2000000109,05000002,65,2019-09-23,2019-08-24,,2020-10-12,,2,2020-10-15,N
2000000110,05000002,66,2020-01-13,2019-12-14,2020-12-14,,,2,2020-12-17,N
2000000111,05000002,67,2019-09-09,2019-08-10,,2020-10-12,,2,2020-10-15,N
2000000112,05000002,68,2020-02-17,2020-01-18,,2020-10-19,,2,2020-10-22,Y
2000000113,05000002,69,2019-09-30,2019-08-31,,2020-10-12,,2,2020-10-15,N
2000000114,05000002,70,2020-01-20,2019-12-21,,2020-11-09,,2,2020-11-12,N
2000000115,05000002,71,2019-12-16,2019-11-16,2020-10-12,,,2,2020-10-15,N
2000000116,05000002,72,2020-03-23,2020-02-22,,,2021-03-08,2,2021-03-11,Y
2000000117,05000002,73,2020-02-24,2020-01-25,,2021-01-04,,2,2021-01-07,N
2000000118,05000002,74,2020-02-03,2020-01-04,,,2020-10-12,2,2020-10-15,N
2000000119,05000002,75,2019-11-25,2019-10-26,,2020-11-02,,2,2020-11-05,Y
2000000120,05000002,76,2019-12-23,2019-11-23,,2020-10-12,,2,2020-10-15,N
2000000121,05000002,77,2020-02-10,2020-01-11,,2021-01-04,,2,2021-01-07,N
2000000122,05000002,78,2020-04-27,2020-03-28,,2021-03-08,,2,2021-03-11,N
2000000123,05000002,79,2020-04-13,2020-03-14,,2020-12-21,,2,2020-12-24,N
2000000124,05000002,80,2019-12-16,2019-11-16,,2020-10-12,,2,2020-10-15,N
2000000125,05000002,81,2020-03-30,2020-02-29,,2020-12-14,,2,2020-12-17,Y
2000000126,05000002,82,2020-01-20,2019-12-21,,2020-12-28,,2,2020-12-31,N
2000000127,05000002,83,2020-02-10,2020-01-11,,2020-10-12,,2,2020-10-15,N
2000000128,05000002,84,2020-05-11,2020-04-11,,2020-12-21,,2,2020-12-24,N
2000000129,05000002,85,2020-03-02,2020-02-01,,2020-11-23,,2,2020-11-26,N
2000000130,05000002,86,2019-12-30,2019-11-30,2020-10-12,,,2,2020-10-15,Y
2000000131,05000002,87,2020-01-27,2019-12-28,2020-11-02,,,2,2020-11-05,N
2000000132,05000002,88,2020-04-20,2020-03-21,,2020-12-14,,2,2020-12-17,N
2000000133,05000002,89,2019-10-07,2019-09-07,2020-10-12,,,2,2020-10-15,N
2000000134,05000002,90,2020-02-17,2020-01-18,,2021-01-18,,2,2021-01-21,Y
2000000135,05000002,91,2020-01-06,2019-12-07,,,2020-11-09,2,2020-11-12,N
2000000136,05000002,92,2020-05-25,2020-04-25,,2021-03-15,,2,2021-03-18,N
2000000137,05000002,93,2019-11-25,2019-10-26,,,,2,2020-10-15,N
2000000138,05000002,94,2020-04-20,2020-03-21,2020-11-23,,,2,2020-11-26,Y
2000000139,05000002,95,2019-09-16,2019-08-17,,2020-10-12,,2,2020-10-15,N
2000000140,05000002,96,2020-05-11,2020-04-11,,,,2,2021-03-11,N
2000000141,05000002,97,2019-10-21,2019-09-21,,2020-10-12,,2,2020-10-15,N
2000000142,05000002,98,2019-12-30,2019-11-30,,2020-11-02,,2,2020-11-05,N
2000000143,05000002,99,2020-03-09,2020-02-08,,2021-01-25,,2,2021-01-28,N
2000000144,05000002,100,2019-10-14,2019-09-14,2020-10-12,,,2,2020-10-15,N
2000000145,05000002,101,2019-09-23,2019-08-24,,2020-10-12,,2,2020-10-15,N
2000000146,05000002,102,2020-04-06,2020-03-07,,,2021-03-15,2,2021-03-18,N
2000000147,05000002,103,2020-03-23,2020-02-22,,2020-12-28,,2,2020-12-31,N
2000000148,05000002,104,2020-02-17,2020-01-18,,2020-11-09,,2,2020-11-12,N
2000000149,05000002,105,2019-09-30,2019-08-31,,2020-10-12,,2,2020-10-15,N
2000000150,05000002,106,2019-09-23,2019-08-24,,2020-10-12,,2,2020-10-15,N
2000000151,05000002,107,2019-12-16,2019-11-16,2020-10-26,,,2,2020-10-29,N
2000000152,05000002,108,2019-10-21,2019-09-21,,2020-10-12,,2,2020-10-15,N
2000000153,05000002,109,2020-04-27,2020-03-28,2021-01-18,,,2,2021-01-21,N
2000000154,05000002,110,2019-12-16,2019-11-16,,2020-10-12,,2,2020-10-15,N
2000000155,05000002,111,2020-02-03,2020-01-04,,2021-01-11,,2,2021-01-14,N
2000000156,05000003,1,2019-09-09,2019-08-10,2020-10-19,,,2,2020-10-22,N
2000000157,05000003,2,2020-03-16,2020-02-15,,2020-10-26,,2,2020-10-29,N
2000000158,05000003,3,2019-11-11,2019-10-12,2020-10-19,,,2,2020-10-22,N
2000000159,05000003,4,2019-10-07,2019-09-07,,2020-10-19,,2,2020-10-22,N
2000000160,05000003,5,2020-04-13,2020-03-14,,2021-03-15,,2,2021-03-18,N
2000000161,05000003,6,2020-03-23,2020-02-22,,2021-02-15,,2,2021-02-18,N
2000000162,05000003,7,2019-11-11,2019-10-12,2020-10-19,,,2,2020-10-22,N
2000000163,05000003,8,2020-05-18,2020-04-18,,2021-01-25,,2,2021-01-28,N
2000000164,05000003,9,2019-12-02,2019-11-02,,2020-11-16,,2,2020-11-19,N
2000000165,05000003,10,2020-05-18,2020-04-18,,2021-04-05,,2,2021-04-08,N
2000000166,05000003,11,2019-11-11,2019-10-12,,2020-10-19,,2,2020-10-22,N
2000000167,05000003,12,2020-03-09,2020-02-08,,,,2,2021-01-07,N
2000000168,05000003,13,2019-11-11,2019-10-12,,2020-10-19,,2,2020-10-22,N
2000000169,05000003,14,2019-09-16,2019-08-17,2020-10-19,,,2,2020-10-22,Y
2000000170,05000003,15,2020-06-15,2020-05-16,,2021-01-25,,2,2021-01-28,N
2000000171,05000003,16,2020-05-04,2020-04-04,,2021-02-15,,2,2021-02-18,N
