uprn,siteid
10000007213,demo-land-002240
10000007214,demo-land-002240
10000007215,demo-land-002240
10000007222,demo-land-002243
10000007223,demo-land-002243
10000007228,demo-land-002246
10000007241,demo-land-002249
10000007246,demo-land-002252
10000007247,demo-land-002252
10000007248,demo-land-002252
10000007254,demo-land-002255
10000007261,demo-land-002258
10000007266,demo-land-002261
10000007267,demo-land-002261
10000007274,demo-land-002264
10000007275,demo-land-002264
10000007276,demo-land-002264
10000007281,demo-land-002267
10000007282,demo-land-002267
10000007283,demo-land-002267
