pcd,pcd2,pcds,lat,long
HX5 9NP,HX5  9NP,HX5 9NP,53.68536692578694,-2.0931223347306633
HX7 4YT,HX7  4YT,HX7 4YT,53.68935801221411,-2.099867059449334
HX4 1ZW,HX4  1ZW,HX4 1ZW,53.68817242991242,-2.093072529915157
HX4 4SQ,HX4  4SQ,HX4 4SQ,53.68758600804878,-2.0919431989324173
HX2 9BW,HX2  9BW,HX2 9BW,53.687170111072376,-2.09558214556325
HX6 9EY,HX6  9EY,HX6 9EY,53.68331339164987,-2.1059362957301073
HX1 0AY,HX1  0AY,HX1 0AY,53.6835998464006,-2.1108449180799025
HX4 5HR,HX4  5HR,HX4 5HR,53.67859896799662,-2.113814336077217
HX1 5HG,HX1  5HG,HX1 5HG,53.71608840041649,-2.089858054538588
HX6 6XQ,HX6  6XQ,HX6 6XQ,53.71609695924561,-2.0898133665636487
HX3 0DZ,HX3  0DZ,HX3 0DZ,53.716350323651824,-2.0857101190398506
HX3 1BP,HX3  1BP,HX3 1BP,53.71681447030165,-2.0877267146352727
HX6 0BR,HX6  0BR,HX6 0BR,53.71610213385162,-2.089840413325657
HX4 0NL,HX4  0NL,HX4 0NL,53.71679562737143,-2.087750130352207
HX3 2DY,HX3  2DY,HX3 2DY,53.715777925246385,-2.089869693215428
HX6 2UQ,HX6  2UQ,HX6 2UQ,53.716528472368864,-2.0886001983179208
HX5 6ED,HX5  6ED,HX5 6ED,53.68421205725809,-2.089211289453785
HX4 7DP,HX4  7DP,HX4 7DP,53.68924385837094,-2.134206282855316
HX5 9AS,HX5  9AS,HX5 9AS,53.68920414894245,-2.134138785258671
HX2 3NJ,HX2  3NJ,HX2 3NJ,53.68420142492644,-2.0892082346266383
HX5 5WZ,HX5  5WZ,HX5 5WZ,53.69170764943744,-2.118083627601585
HX7 5JT,HX7  5JT,HX7 5JT,53.68691959061899,-2.0725466832371584
HX3 4FW,HX3  4FW,HX3 4FW,53.704808083443574,-2.100846234972233
HX7 5AU,HX7  5AU,HX7 5AU,53.70393664417913,-2.105215483095361
HX1 1ET,HX1  1ET,HX1 1ET,53.70289633267419,-2.1072167701315117
HX5 5RL,HX5  5RL,HX5 5RL,53.70008592614952,-2.1005391765054826
HX5 5PW,HX5  5PW,HX5 5PW,53.70084252758747,-2.0995088896599072
HX2 6BZ,HX2  6BZ,HX2 6BZ,53.70023283636612,-2.1019031533156904
HX5 1SE,HX5  1SE,HX5 1SE,53.702399445761074,-2.10361903553258
HX2 5TP,HX2  5TP,HX2 5TP,53.695966411336904,-2.097468168904009
HX2 2RT,HX2  2RT,HX2 2RT,53.70011979083127,-2.098294786028045
HX4 6PF,HX4  6PF,HX4 6PF,53.700133636442395,-2.0991267138333463
HX5 7EL,HX5  7EL,HX5 7EL,53.69911304803693,-2.1067440359153564
HX5 0ED,HX5  0ED,HX5 0ED,53.69911822934597,-2.1067551788059795
HX3 4ZD,HX3  4ZD,HX3 4ZD,53.69949986141744,-2.107160096711592
HX2 9RU,HX2  9RU,HX2 9RU,53.69904163704397,-2.1067407933636226
HX3 4RA,HX3  4RA,HX3 4RA,53.69903319737128,-2.1067072887849005
HX2 0DQ,HX2  0DQ,HX2 0DQ,53.6993291510242,-2.1090456948951823
HX7 1DR,HX7  1DR,HX7 1DR,53.69375974784728,-2.1029198921886247
HX4 8QR,HX4  8QR,HX4 8QR,53.69433968550258,-2.1059360388660395
HX1 4HX,HX1  4HX,HX1 4HX,53.694321719431244,-2.1058678643309134
HX4 5AB,HX4  5AB,HX4 5AB,53.69189175777726,-2.111120796558592
HX5 4ZB,HX5  4ZB,HX5 4ZB,53.69231823427538,-2.110569586783858
HX3 4LZ,HX3  4LZ,HX3 4LZ,53.692298498487354,-2.0972604818527296
HX4 3WF,HX4  3WF,HX4 3WF,53.695649636731275,-2.103230790140062
HX3 4SF,HX3  4SF,HX3 4SF,53.69229924190991,-2.097456020735856
HX6 1LG,HX6  1LG,HX6 1LG,53.6957598780822,-2.1029295003452226
HX4 9PP,HX4  9PP,HX4 9PP,53.69173943903611,-2.1002883504689502
HX5 2DJ,HX5  2DJ,HX5 2DJ,53.692119299198296,-2.0999430833035135
HX6 5ST,HX6  5ST,HX6 5ST,53.6917788157217,-2.100182054979099
HX5 9FQ,HX5  9FQ,HX5 9FQ,53.70782095995522,-2.087606721661278
HX1 0RJ,HX1  0RJ,HX1 0RJ,53.70789786559412,-2.087739439443193
HX2 0EA,HX2  0EA,HX2 0EA,53.707826252259515,-2.0876039490089124
HX4 4SE,HX4  4SE,HX4 4SE,53.71971906075657,-2.0635936277862483
HX3 9LY,HX3  9LY,HX3 9LY,53.707831453071094,-2.087581974430787
HX6 8GE,HX6  8GE,HX6 8GE,53.71965974303932,-2.0635102900781614
HX5 1HA,HX5  1HA,HX5 1HA,53.727547014875405,-2.080885959446899
HX2 2DU,HX2  2DU,HX2 2DU,53.71399225751918,-2.0697133187405887
HX4 5DL,HX4  5DL,HX4 5DL,53.71667229548587,-2.0681108844201086
HX1 4YU,HX1  4YU,HX1 4YU,53.71943178682953,-2.077601301334681
HX6 6SJ,HX6  6SJ,HX6 6SJ,53.714034946653285,-2.067948037923419
HX4 1LL,HX4  1LL,HX4 1LL,53.71404465127539,-2.06795578851532
HX1 8TX,HX1  8TX,HX1 8TX,53.71399334113952,-2.0700410323566993
HX5 1WX,HX5  1WX,HX5 1WX,53.71402979140296,-2.067953498915639
HX3 1HW,HX3  1HW,HX3 1HW,53.71799383024503,-2.083868619501323
HX3 2FX,HX3  2FX,HX3 2FX,53.71845021839354,-2.0843430658655575
HX4 5JJ,HX4  5JJ,HX4 5JJ,53.71686961074725,-2.0851996020195664
HX5 2WG,HX5  2WG,HX5 2WG,53.71667231611715,-2.0729768018768437
HX7 3ZJ,HX7  3ZJ,HX7 3ZJ,53.71643657401495,-2.0815920426660695
HX3 3JH,HX3  3JH,HX3 3JH,53.71784839682657,-2.0757625418307137
HX4 8XW,HX4  8XW,HX4 8XW,53.76091617915308,-1.8880877035024681
HX4 1UA,HX4  1UA,HX4 1UA,53.75696262877389,-1.8887582264870428
HX4 9YW,HX4  9YW,HX4 9YW,53.757003944346984,-1.888784025038514
HX1 6LR,HX1  6LR,HX1 6LR,53.757058909517866,-1.8758073438030303
HX3 2TA,HX3  2TA,HX3 2TA,53.76273621242262,-1.883214114697362
HX4 8LE,HX4  8LE,HX4 8LE,53.76103736370172,-1.8754266392988426
HX7 3FQ,HX7  3FQ,HX7 3FQ,53.75704217736364,-1.8758229051593702
HX6 2EA,HX6  2EA,HX6 2EA,53.76274002161579,-1.8831860439477472
HX6 6PY,HX6  6PY,HX6 6PY,53.75452904239097,-1.8962165576713705
HX1 3NE,HX1  3NE,HX1 3NE,53.75337146814111,-1.8972132801434531
HX3 6RR,HX3  6RR,HX3 6RR,53.75453895580024,-1.8962178114832264
HX4 3PE,HX4  3PE,HX4 3PE,53.753631684136906,-1.8746290327764135
HX1 4BN,HX1  4BN,HX1 4BN,53.75360161422317,-1.8746170412677756
HX5 6RG,HX5  6RG,HX5 6RG,53.753268452501686,-1.8700358085403321
HX3 0SS,HX3  0SS,HX3 0SS,53.75049386716415,-1.8769335776420164
HX4 3LN,HX4  3LN,HX4 3LN,53.750490298926906,-1.8769393502276732
HX2 5AT,HX2  5AT,HX2 5AT,53.75453398415382,-1.8720484356610125
HX6 6AS,HX6  6AS,HX6 6AS,53.75362489624895,-1.874635093660346
HX2 4WD,HX2  4WD,HX2 4WD,53.750493253006276,-1.8769284795028824
HX6 8FQ,HX6  8FQ,HX6 8FQ,53.751754527472926,-1.8797008639060395
HX6 9UT,HX6  9UT,HX6 9UT,53.74998129320512,-1.8784745514271937
HX6 3JH,HX6  3JH,HX6 3JH,53.77814563225325,-1.8782686273757319
HX3 0JD,HX3  0JD,HX3 0JD,53.77311324584089,-1.874981895927109
HX4 4XT,HX4  4XT,HX4 4XT,53.77815284236193,-1.878155638672654
HX4 0WL,HX4  0WL,HX4 0WL,53.77133828826142,-1.8734184564716991
HX5 6SY,HX5  6SY,HX5 6SY,53.77678312707683,-1.8961613366689258
HX7 7TT,HX7  7TT,HX7 7TT,53.77587301861814,-1.9025415511699695
HX2 6SR,HX2  6SR,HX2 6SR,53.78555431009745,-1.935571475140504
HX3 4RX,HX3  4RX,HX3 4RX,53.77673816269038,-1.9238320907269362
HX5 1RR,HX5  1RR,HX5 1RR,53.76827359548142,-1.877273641264234
HX3 8FY,HX3  8FY,HX3 8FY,53.76762313749165,-1.87764029594614
HX7 7TH,HX7  7TH,HX7 7TH,53.76762013185222,-1.8776134775392492
